date,open,high,low,close,volume,vol_change,return_7d,streak_up,streak_down,range_ratio
2010-01-13,29.695715,30.1328564285,29.1571425714,30.0928574285,151473000.0,0.01923158445081885,-0.015700182382155314,1,0,0.032423436671584704
2010-01-14,30.0157147143,30.0657138571,29.8600005714,29.9185714285,108223500.0,-0.28552613337030364,-0.02308980857370546,0,1,0.006875772333970478
2010-01-15,30.1328564285,30.228571,29.4099998571,29.4185714285,148516900.0,0.3723165486239126,-0.023889629426201542,0,2,0.027824979363443393
2010-01-19,29.7614288571,30.7414284285,29.6057148571,30.7199992857,182501900.0,0.2288291770162183,0.021179575459723043,1,0,0.036969843678631494
2010-01-20,30.7014294285,30.7928562857,29.9285717143,30.2471428571,153038200.0,-0.16144325072780064,-0.0011793801023844974,0,1,0.028574089641565152
2010-01-21,30.297142,30.4728565714,29.601429,29.7242851428,152038600.0,-0.0065317025422411135,-0.009709233122513594,0,2,0.029317023679914612
2010-01-22,29.5400008571,29.6428565714,28.1657142857,28.25,220441900.0,0.44990745771139706,-0.0479973086448926,0,3,0.052288222502654906
2010-01-25,28.9300002857,29.242857,28.5985717143,29.0100002857,266424900.0,0.20859464557327811,-0.03598385913909463,1,0,0.022209075468971655
2010-01-26,29.4214287143,30.5300007143,28.9400005714,29.4200001428,466777500.0,0.7520040356588291,-0.016664274458808914,2,0,0.05404487203203247
2010-01-27,29.5499992857,30.0828571428,28.5042858571,29.6971435714,430642100.0,-0.07741461402916805,0.009469261400984585,3,0,0.05315566064139074
2010-01-28,29.2757148571,29.3571434285,28.3857135714,28.4699992857,293375600.0,-0.31874844563501803,-0.07324218920302394,0,1,0.03412117602644028
2010-01-29,28.7257137143,28.8857135714,27.1785717143,27.4371432857,311488100.0,0.06173826316844355,-0.09290132243814231,0,2,0.06222010211936857
2010-02-01,27.4814281428,28.0,27.3285712857,27.8185711428,187469100.0,-0.39815004168698576,-0.0641130305016474,1,0,0.02413598853993543
2010-02-02,27.9871425714,28.0457134285,27.6257132857,27.9799995714,174585600.0,-0.06872332560405958,-0.00955753729557518,2,0,0.015010727277826912
2010-02-03,27.8814277143,28.6000004285,27.7742862857,28.4614277143,153832000.0,-0.11887349243007439,-0.018909774767234544,3,0,0.02901169087821732
2010-02-04,28.1042861428,28.3385715714,27.3671435714,27.4357147143,189413000.0,0.2312977793957045,-0.0674468191321751,0,1,0.03540742459658517
2010-02-05,27.5185718571,28.0,27.264286,27.9228572857,212576700.0,0.12229202853024868,-0.059746025116325874,1,0,0.026348091546375494
2010-02-08,27.9557151428,28.2685718571,27.7142848571,27.7314281428,119567700.0,-0.43753148863445523,-0.025942085051999686,0,1,0.019987683185509145
2010-02-09,28.0599994285,28.2142848571,27.8214282857,28.0271434285,158221700.0,0.32328128750490315,0.021503701630173122,1,0,0.014017003637998826
2010-02-10,27.9842852857,28.0857142857,27.7514285714,27.8742867143,92590400.0,-0.4148059336993598,0.0020028193113872383,0,1,0.011992619496466031
2010-02-11,27.8400001428,28.5357151428,27.7228565714,28.3814277143,137586400.0,0.4859683077295269,0.01434696744278452,1,0,0.028640510251372604
2010-02-12,28.3014278571,28.8057137143,27.9285717143,28.6257132857,163867200.0,0.19101306524482076,0.005772218212281022,2,0,0.030641751744162816
2010-02-16,28.8485717143,29.0985717143,28.7885722857,29.0571422857,135934400.0,-0.17045998222951264,0.05909915554541323,3,0,0.010668613780115684
2010-02-17,29.1700001428,29.1871432857,28.6942862857,28.9357147143,109099200.0,-0.19741286973716732,0.03627341637127901,0,1,0.017032826210317566
2010-02-18,28.804285,29.127142,28.702858,28.9899997143,105706300.0,-0.031099219792629085,0.045384304227648276,1,0,0.014635529637163535
2010-02-19,28.837143,29.0285721428,28.7299995714,28.8099994285,103867400.0,-0.017396314126972512,0.02793206528510983,0,1,0.010363504940046658
2010-02-22,28.905714,28.9285717143,28.4557151428,28.6314277143,97640900.0,-0.05994662425361563,0.027162704027564377,0,2,0.016515298371370796
2010-02-23,28.5714282857,28.7614288571,27.9585704285,28.1514282857,143773700.0,0.47247413737480914,-0.008103870986170048,0,3,0.028519278682844883
2010-02-24,28.3185711428,28.7771434285,28.2628574285,28.6657142857,115141600.0,-0.19914699280883774,0.001397380026857853,1,0,0.01794080534237919
2010-02-25,28.1971435714,28.9799995714,28.127142,28.8571434285,166281500.0,0.44414790136666515,-0.006882949989835296,2,0,0.02955446971087578
2010-02-26,28.9114284285,29.3099994285,28.8571434285,29.2314281428,126865200.0,-0.2370456124102801,0.01021966906363847,3,0,0.01549209288672896
2010-03-01,29.3928565714,29.9285717143,29.3500004285,29.8557148571,137523400.0,0.08401200644463569,0.029862544026620474,4,0,0.019378912498637046
2010-03-02,29.9899997143,30.1185722857,29.6771431428,29.8357142857,141636600.0,0.02990909183455326,0.035602737853070554,0,1,0.014795326791005488
2010-03-03,29.8485717143,29.9814281428,29.7057151428,29.9042854285,93013200.0,-0.34329685970999024,0.0444566623397642,1,0,0.009219849130293344
2010-03-04,29.8971424285,30.1314277143,29.804285,30.101429,91510300.0,-0.016157921671332676,0.0692682692512101,2,0,0.010868012754477503
2010-03-05,30.7057151428,31.3857135714,30.6614284285,31.2785721428,224905100.0,1.4577025755570685,0.09114923253119267,3,0,0.02315595288663853
2010-03-08,31.4300002857,31.4414291428,31.1785717143,31.297142,107472400.0,-0.5221433395685557,0.08455440426893412,4,0,0.008398767801226132
2010-03-09,31.1871432857,32.1428565714,31.127142,31.8600005714,230064800.0,1.14068728343277,0.08992281922590384,5,0,0.0318805572248416
2010-03-10,31.9757137143,32.2114295714,31.8857135714,32.119999,149054500.0,-0.35211948981330476,0.07584089524359627,6,0,0.010140598074115641
2010-03-11,31.9871425714,32.2142868571,31.9028568571,32.2142868571,101425100.0,-0.31954352267123776,0.07972232702804871,7,0,0.009667449767908147
2010-03-12,32.48143,32.532856,32.25,32.3714294285,104080900.0,0.02618483984733566,0.08250135272079473,8,0,0.008737828541824425
2010-03-15,32.1971435714,32.2142868571,31.4642848571,31.9771422857,123375700.0,0.18538271671363327,0.062313097683834195,0,1,0.023454316001695848
2010-03-16,32.0257148571,32.1399994285,31.7871437143,32.0642852857,111727000.0,-0.09441648558022364,0.02511985327568289,1,0,0.011004633693094137
2010-03-17,32.1285705714,32.3499984285,31.8957138571,32.0171432857,112739200.0,0.009059582732911409,0.02300533657993431,0,1,0.014188791527909425
2010-03-18,32.014286,32.1428565714,31.8014278571,32.0928574285,85527400.0,-0.24136946155374528,0.007308752445818412,1,0,0.010638775779335856
2010-03-19,32.1128578571,32.1771431428,31.6042861428,31.75,139861400.0,0.6352817927354275,-0.011519271840575107,0,1,0.018042740157480284
2010-03-22,31.4957141428,32.2857131428,31.4500007143,32.1071434285,114104900.0,-0.1841573157425852,-0.00332595997158891,1,0,0.02602886271589569
2010-03-23,32.2342872857,32.6828575714,32.014286,32.6228561428,150607800.0,0.319906507082518,0.0077669327162501745,2,0,0.0204939619165613
2010-03-24,32.5200004285,32.8857154285,32.5014267143,32.7671432857,149445100.0,-0.007720051683910101,0.02470517824706575,3,0,0.011727867481438491
2010-03-25,32.9885711428,32.9957161428,32.3214301428,32.3785705714,135571100.0,-0.09283676748183778,0.009801724345315677,0,1,0.020825070041714543
2010-03-26,32.7071418571,33.1357154285,32.6500015714,32.985714,160218800.0,0.1818064469492391,0.030251628187346613,1,0,0.01472497630640956
2010-03-29,33.2857131428,33.4099998571,33.0885695714,33.1985702857,135186100.0,-0.15624071582111465,0.03445354966174108,2,0,0.009682052056273332
2010-03-30,33.7999992857,33.9257125714,33.4642868571,33.6928558571,131827500.0,-0.024844270231924703,0.061192310459842414,3,0,0.013695060942801141
2010-03-31,33.6414298571,33.8014297143,33.4942855714,33.5714301428,107664900.0,-0.18328952608522497,0.045606259478076616,0,1,0.009148974041127437
2010-04-01,33.9157142857,34.1042861428,33.25,33.7099991428,150786300.0,0.4005149310499523,0.03332458063270871,1,0,0.02534221787372734
2010-04-05,33.568573,34.0728568571,33.5385704285,34.0699997143,171126900.0,0.13489687060429234,0.03976106239229549,2,0,0.015682020342833905
2010-04-06,34.0285721428,34.3199997143,33.8571434285,34.2200012857,111754300.0,-0.34695071318419257,0.0568718964983137,3,0,0.013525899135293758
2010-04-07,34.2214278571,34.5600014285,34.094284,34.3714294285,157125500.0,0.40599064197082346,0.042009562942915135,4,0,0.013549550782250489
2010-04-08,34.3485717143,34.5057144285,34.0057144285,34.2785721428,143247300.0,-0.08832557414296216,0.03253157734823309,0,1,0.014586371856945094
2010-04-09,34.4900017143,34.5557137143,34.351429,34.5414275714,83545700.0,-0.4167729513924521,0.025185508699500314,1,0,0.005914194307045392
2010-04-12,34.5999984285,34.7242851428,34.5442848571,34.6128578571,83256600.0,-0.0034603815636232715,0.031021249612249724,2,0,0.005200387857111716
2010-04-13,34.5514297143,34.6857147143,34.4442862857,34.6328582857,76552700.0,-0.08052094368494511,0.02737642142886587,3,0,0.006971080082630139
2010-04-14,35.0400008571,35.115715,34.8671417143,35.0985717143,101019100.0,0.31960205191978863,0.030189962096426992,4,0,0.0070821481775205615
2010-04-15,35.1114272857,35.5757141428,35.0728568571,35.5600014285,94196200.0,-0.06754069279967845,0.03915838960999585,5,0,0.014141092955552631
2010-04-16,35.5099982857,35.8771438571,34.9357147143,35.3428574285,187636400.0,0.991974198534548,0.028262659311879323,0,1,0.02663704101188062
2010-04-19,35.2900008571,35.412857,34.5385704285,35.2957152857,141731100.0,-0.24465029173443964,0.029672856228162292,0,2,0.024770331594730893
2010-04-20,35.5057144285,35.6071434285,34.7085724285,34.9414291428,184581600.0,0.30233660784400884,0.011580342780366015,0,3,0.025716492485973855
2010-04-21,36.9714278571,37.1785698571,36.532856,37.0314292857,245597800.0,0.33056491004520483,0.06987494180876719,1,0,0.017436914252438714
2010-04-22,36.8914298571,38.1071434285,36.5999984285,38.0671424285,198356200.0,-0.19235351456731287,0.09916259623936452,2,0,0.03959175561524777
2010-04-23,38.2842864285,38.8828582857,38.1428565714,38.6899985714,199238900.0,0.004450075167804268,0.10232401723733853,3,0,0.01912643426270416
2010-04-26,38.8400001428,38.9228554285,38.3128585714,38.5,119767200.0,-0.3988764242324164,0.08267712186152232,0,1,0.015844074210389622
2010-04-27,38.181427,38.2628555714,37.217144,37.4342841428,177335900.0,0.48067166970589614,0.05917537138956708,0,2,0.02793459512704838
2010-04-28,37.6071434285,37.7142868571,36.630001,37.3714294285,189600600.0,0.06916084109308951,0.058809238628490856,0,3,0.02901376462397521
2010-04-29,37.5742874285,38.5714301428,37.4300002857,38.3771438571,139710200.0,-0.26313418839391856,0.09832782455058697,1,0,0.02974243892016026
2010-04-30,38.4728584285,38.6528587142,37.2857131428,37.2985725714,135615900.0,-0.029305662721834214,0.007213960974581157,0,1,0.0366540989948851
2010-05-03,37.6914291428,38.26857,37.554287,38.0499992857,113585500.0,-0.1624470287038614,-0.0004503396290436168,1,0,0.018772221114559586
2010-05-04,37.5557137142,37.6128578571,36.6785698571,36.9542847142,180954900.0,0.5931161988105875,-0.044862081191263004,0,1,0.025282264485043438
2010-05-05,36.1471442857,36.8771438571,35.532856,36.5699997142,220775800.0,0.2200598049569258,-0.050129877553246716,0,2,0.036759307290287375
2010-05-06,36.2614288571,36.8928565714,28.4642848571,35.1785698571,321465200.0,0.45607081935610694,-0.060257978410784174,0,3,0.23959392745463998
2010-05-07,34.8157158571,35.2242851428,32.1728554285,33.6942862857,419004600.0,0.3034213345643635,-0.09839450080000833,0,4,0.09056223029704116
2010-05-10,35.75,36.3785705714,35.5042838571,36.2842864285,246076600.0,-0.4127114594923301,-0.05453395480374723,1,0,0.02409546391446402
2010-05-11,35.9771422857,37.1271438571,35.7857131428,36.6457138571,212226700.0,-0.13755838629109796,-0.017503584434772845,2,0,0.0366053918210166
2010-05-12,37.0342864285,37.5900001428,36.9571418571,37.4414291428,163594900.0,-0.2291502435838657,-0.01599395937777881,3,0,0.016902620978657322
2010-05-13,37.6028557142,37.8571434285,36.6285705714,36.9085731428,149928100.0,-0.08354050156820292,-0.0012369762194972544,0,1,0.03328692367344119
2010-05-14,36.4514274285,36.6399994285,35.6428565714,36.2599982857,189840700.0,0.2662116040955631,-0.008476932756978584,0,2,0.02749980430896054
2010-05-17,36.3857154285,36.5971412857,35.3871421428,36.3171424285,190708700.0,0.004572254527084985,0.03236551616580852,1,0,0.03331757572287529
2010-05-18,36.7114295714,36.9357147142,35.7514267142,36.0514297142,195669600.0,0.026012971615872793,0.06995676977732512,0,1,0.032849959332778775
2010-05-19,35.6428565714,36.1314277142,34.9785728571,35.4771422857,256431700.0,0.3105341861995936,-0.022245005269444174,0,2,0.032495708019997196
2010-05-20,34.554287,34.8357124285,33.7442855714,33.9657135714,320728800.0,0.25073772080440904,-0.07313270785638559,0,3,0.03213319381044928
2010-05-21,33.2599982857,34.9285698571,33.0499992857,34.6171417143,305972800.0,-0.046007717423567795,-0.07543214810867105,1,0,0.054267061876572716
2010-05-24,35.3257141428,35.8428574285,35.1800002857,35.2514267143,188559700.0,-0.38373705113657164,-0.04489868579011347,2,0,0.01880369688785127
2010-05-25,34.1928558571,35.2514267143,33.880001,35.0314292857,262001600.0,0.3894888462380879,-0.03388221340552344,0,1,0.039148437339375855
2010-05-26,35.7257155714,36.01857,34.8214301428,34.8728561428,212663500.0,-0.18831220878040444,-0.03976872047528135,0,2,0.034328701162240946
2010-05-27,35.7999992857,36.2700004285,35.587143,36.1928558571,166570600.0,-0.21674100162933463,0.003922899702485161,1,0,0.018867188353307113
2010-05-28,37.0557137142,37.0571441428,36.1928558571,36.6971435714,203903700.0,0.22412778725657478,0.03438837536223294,2,0,0.02355192261812944
2010-06-01,37.0985717142,37.9914284285,36.9942855714,37.2614288571,219118200.0,0.07461610554394049,0.09703065059334048,3,0,0.026760725170366102
2010-06-02,37.7914275714,37.8285712857,37.1899985714,37.7071418571,172137000.0,-0.21441030457533883,0.08926213978907316,4,0,0.01693506011991108
2010-06-03,37.8828582857,37.9357147142,37.2014274285,37.5885695714,162526700.0,-0.055829368468138796,0.06629924161769929,0,1,0.019534855783889762
2010-06-04,36.8871421428,37.4142875714,36.3757132857,36.5657158571,189576100.0,0.16643050034240536,0.04379742998457403,0,2,0.02840295236551044
2010-06-07,36.898571,37.0214271428,35.7928581428,35.8485717142,221735500.0,0.16963847236017626,0.027979227379729465,0,3,0.034271072493338724
2010-06-08,36.1771431428,36.2571411428,35.0928574285,35.6185722857,250192600.0,0.1283380423973608,-0.015867318502508998,0,4,0.03268754583876
2010-06-09,35.9242858571,35.985714,34.6414298571,34.7428588571,213657500.0,-0.1460279001057585,-0.05325440958361327,0,5,0.03869238707238064
2010-06-10,34.9771422857,35.8542861428,34.5999984285,35.7871437142,194089000.0,-0.09158817265951347,-0.0395659852056125,1,0,0.0350485561048648
2010-06-11,35.4614295714,36.2657127142,35.3385695714,36.2157135714,136439800.0,-0.2970245608973203,-0.039552939105066964,2,0,0.025600576417529847
2010-06-14,36.5657158571,37.0214271428,36.2871437142,36.3257141428,150740100.0,0.10481032660557998,-0.03359679399880289,3,0,0.02021387454940211
2010-06-15,36.5200004285,37.1214294285,36.5,37.0985717142,146268500.0,-0.0296643029956859,0.014572553677942857,4,0,0.016750764242013664
2010-06-16,37.2999992857,38.25,37.2328567142,38.1785698571,195919500.0,0.33945107798329777,0.0649955641601494,5,0,0.026641733559091052
2010-06-17,38.6571425714,38.985714,38.5,38.8385695714,218213800.0,0.11379316504993131,0.0904021997252471,6,0,0.01250597036296806
2010-06-18,38.8928565714,39.2857131428,38.7742844285,39.1528587142,196155400.0,-0.10108618245042245,0.12693255541343507,7,0,0.013062359457152744
2010-06-21,39.6699981428,39.8585701428,38.3899994285,38.5957145714,194122600.0,-0.010363212024751767,0.07847988315663179,0,1,0.038050097805113134
2010-06-22,38.880001,39.4242858571,38.7857131428,39.1214294285,179315500.0,-0.07627705377941574,0.08023356633223089,1,0,0.016322836962465465
2010-06-23,39.2257155714,39.2371444285,38.2714271428,38.7099991428,192114300.0,0.07137587102063114,0.06563628702871838,0,1,0.024947489203952202
2010-06-24,38.7142868571,39.0285721428,38.2999992857,38.4285698571,178569300.0,-0.07050490255020059,0.03585038672502128,0,2,0.018959145755599725
2010-06-25,38.5800018571,38.6100005714,37.9728584285,38.0999984285,137485600.0,-0.2300714624518324,-0.0020579982145504383,0,3,0.01672289157952829
