date,open,high,low,close,volume,vol_change,return_7d,streak_up,streak_down,range_ratio
2010-01-13,26.200001,26.4,25.629999,26.040001,3142800.0,-0.033073870104298075,0.004629668209876536,0,3,0.029569929740017944
2010-01-14,26.040001,27.0,26.040001,26.879999,4208000.0,0.3389334351533664,0.007118695874159142,1,0,0.03571424984055988
2010-01-15,26.91,26.91,26.440001,26.610001,3455500.0,-0.17882604562737647,0.005289082179413818,0,1,0.017662494638763876
2010-01-19,26.51,27.27,26.43,27.219999,6514100.0,0.8851396324699754,0.027945581570997025,1,0,0.03085966314693839
2010-01-20,27.02,27.280001,26.700001,26.950001,4774800.0,-0.26700541901413855,0.01774928247734131,0,1,0.021521335008484722
2010-01-21,27.15,27.280001,26.5,26.719999,3524400.0,-0.2618748429253581,0.012504737116511455,0,2,0.02919165528411878
2010-01-22,26.58,26.68,25.74,25.82,4257200.0,0.2079219157870844,-0.012996941896024405,0,3,0.03640588690937263
2010-01-25,26.02,26.15,25.17,25.67,3758900.0,-0.11704876444611478,-0.014208947226998947,0,4,0.0381768601480326
2010-01-26,25.559999,25.809999,25.450001,25.67,3573700.0,-0.04926973316661787,-0.04501484542465939,0,0,0.014024074795481142
2010-01-27,25.549999,26.0,25.450001,25.83,2722500.0,-0.2381845146486834,-0.029312325091607527,1,0,0.021293031358885006
2010-01-28,25.93,25.940001,25.08,25.309999,4001200.0,0.4696786042240588,-0.07016899596506232,0,1,0.03397870541203895
2010-01-29,25.59,25.85,24.5,24.700001,5119000.0,0.27936619014295716,-0.08348793753291517,0,2,0.054655868232556
2010-02-01,25.940001,26.24,25.6,26.18,4985600.0,-0.026059777300253995,-0.020209544169518923,1,0,0.024446142093200802
2010-02-02,26.41,26.5,25.959999,26.370001,3229600.0,-0.35221437740693196,0.021301355538342337,2,0,0.02047785284498094
2010-02-03,26.540001,26.83,26.129999,26.5,5038600.0,0.5601312856081249,0.03233346318659902,3,0,0.026415132075471574
2010-02-04,25.58,26.17,25.35,25.51,7362900.0,0.46129877346882076,-0.006232956758862485,0,1,0.03214425715405724
2010-02-05,25.51,25.57,24.620001,25.32,5719400.0,-0.2232136793926306,-0.019744483159117254,0,2,0.03751970774091634
2010-02-08,25.32,25.5,24.940001,25.040001,2539400.0,-0.5560023778718047,-0.010667641669997785,0,3,0.022364176423155944
2010-02-09,25.389999,25.549999,24.91,25.27,3456200.0,0.3610301646058125,0.023076881656806325,1,0,0.025326434507320916
2010-02-10,25.17,25.309999,24.76,24.959999,2716300.0,-0.21407904635148434,-0.046600496562261284,0,1,0.022035217228975036
2010-02-11,24.950001,25.5,24.639999,25.370001,2675000.0,-0.015204506129661621,-0.03792187948722492,1,0,0.03389834316522102
2010-02-12,25.110001,25.43,24.83,25.33,2792300.0,0.04385046728971953,-0.044150943396226494,0,1,0.02368732727990531
2010-02-16,25.49,25.74,25.34,25.65,2339800.0,-0.16205278802420942,0.005488043904351203,1,0,0.01559454191033133
2010-02-17,25.719999,25.870001,25.440001,25.690001,1990600.0,-0.1492435250876143,0.014612993680884534,2,0,0.016738029710469834
2010-02-18,25.57,25.83,25.5,25.73,1983300.0,-0.0036672360092434575,0.027555869506554753,3,0,0.012825495530509066
2010-02-19,25.620001,25.99,25.610001,25.889999,2509000.0,0.26506327837442645,0.024534982192322863,4,0,0.014677443595111687
2010-02-22,25.940001,26.1,25.75,25.879999,2395000.0,-0.04543642885611798,0.036858975835696306,0,1,0.013523957245902576
2010-02-23,25.76,25.959999,25.48,25.629999,2090800.0,-0.1270146137787056,0.010248245555843916,0,2,0.018728014776746554
2010-02-24,25.66,25.969999,25.52,25.76,1632100.0,-0.21938970728907592,0.016975917883932157,1,0,0.017468905279503174
2010-02-25,25.41,25.73,25.17,25.66,2278300.0,0.39593162183689734,0.0003898635477583845,0,1,0.0218238503507404
2010-02-26,25.74,26.450001,25.52,26.299999,4167700.0,0.8293025501470395,0.023744568947272615,1,0,0.03536125609738619
2010-03-01,26.530001,27.27,26.530001,27.190001,2987000.0,-0.2832977421599443,0.056743140303147976,2,0,0.027215850415011057
2010-03-02,27.5,27.68,27.25,27.450001,3098700.0,0.037395379979912935,0.060255004258594314,3,0,0.015664844602373593
2010-03-03,28.040001,28.75,27.75,28.120001,7599400.0,1.4524478006906123,0.08655340365353181,4,0,0.03556187640249373
2010-03-04,28.200001,28.43,27.809999,28.27,3773200.0,-0.5034871174040056,0.10300433488116778,5,0,0.0219314113901662
2010-03-05,28.450001,29.34,28.25,29.200001,4285400.0,0.13574684617831023,0.13354041149068308,6,0,0.03732876584490527
2010-03-08,29.41,29.65,29.26,29.450001,4947000.0,0.15438465487469077,0.14770074045206538,7,0,0.013242783930635419
2010-03-09,29.559999,30.450001,29.43,30.41,7947100.0,0.6064483525368911,0.1562738082233388,8,0,0.03354163104242028
2010-03-10,30.51,31.33,30.27,31.27,7390800.0,-0.07000037749619359,0.15005512504394547,9,0,0.03389830508474572
2010-03-11,31.190001,31.440001,30.879999,31.41,4519300.0,-0.3885235698435894,0.14426225339663912,10,0,0.017828780643107202
2010-03-12,31.57,32.23,31.15,31.940001,8512500.0,0.8835881663089415,0.13584636785752613,11,0,0.03381339906658107
2010-03-15,31.370001,31.540001,30.809999,31.280001,6041700.0,-0.29025550660792954,0.10647332861690839,0,1,0.023337659100458437
2010-03-16,31.360001,31.73,31.129999,31.65,4405900.0,-0.27075160964629164,0.08390407246903853,1,0,0.018957377567140565
2010-03-17,31.700001,32.459999,31.6,32.080002,3357900.0,-0.23786286570280757,0.08930393584706509,2,0,0.026807947206487142
2010-03-18,32.209999,32.27,31.719999,31.940001,4063400.0,0.21010155156496624,0.050312430121670415,0,1,0.017219817870387722
2010-03-19,31.98,32.080002,31.32,31.389999,4266000.0,0.049859723384357846,0.003837511992324849,0,2,0.024211596821012964
2010-03-22,30.389999,31.26,30.02,31.26,6050600.0,0.41833098921706524,-0.0047755491881565915,0,3,0.03966730646193224
2010-03-23,31.379999,31.59,31.040001,31.52,3828300.0,-0.3672858890027435,-0.013149686501262137,1,0,0.017449206852791867
2010-03-24,31.379999,31.690001,31.23,31.559999,4739700.0,0.23806911684037302,0.008951342424829312,2,0,0.014575444061325804
2010-03-25,31.9,32.16,31.48,31.51,3886000.0,-0.18011688503491785,-0.004423380726698123,0,1,0.02158045065058699
2010-03-26,31.77,32.099998,31.52,31.68,3098000.0,-0.2027792074112198,-0.012468889496952018,1,0,0.01830801767676767
2010-03-29,31.809999,32.18,31.629999,31.68,2457000.0,-0.20690768237572632,-0.008140294046953822,0,0,0.01736114267676762
2010-03-30,31.709999,31.940001,31.51,31.610001,2916900.0,0.18717948717948718,0.007008665403270609,0,1,0.013603321303279844
2010-03-31,31.43,31.68,31.299999,31.42,2239600.0,-0.2321985669717851,0.0051183621241202015,0,2,0.012094239338001274
2010-04-01,31.629999,31.879999,31.129999,31.41,2027100.0,-0.09488301482407568,-0.0034898477157360164,0,3,0.02387774594078319
2010-04-05,31.440001,32.59,31.440001,32.450001,3079200.0,0.5190173153766464,0.028200317750326942,1,0,0.03543910522529736
2010-04-06,32.439999,33.0,32.259998,32.830002,3260000.0,0.058716549753182745,0.04189152649952388,2,0,0.022540418974083428
2010-04-07,32.66,32.830002,32.380001,32.66,3830100.0,0.17487730061349693,0.030934343434343425,0,1,0.013778352725045939
2010-04-08,32.560001,32.639999,32.220001,32.599998,2569900.0,-0.32902535181849035,0.02904034090909091,0,2,0.01288337502351993
2010-04-09,32.599998,33.310001,32.549999,33.209999,2875800.0,0.11903186894431683,0.05061682851575999,1,0,0.022884734203093473
2010-04-12,33.369999,33.790001,33.240002,33.509998,2605100.0,-0.09413032895194384,0.06651807765754292,2,0,0.016412982179229006
2010-04-13,33.529999,33.59,33.139999,33.459999,1938300.0,-0.2559594641280565,0.06526580706781293,0,1,0.013448924490404206
2010-04-14,33.700001,34.25,33.639999,34.16,2367700.0,0.2215343342103906,0.052696423645718804,1,0,0.01785717213114745
2010-04-15,34.16,34.759998,34.040001,34.119999,3584600.0,0.5139586940913123,0.03929323549843211,0,1,0.02110190565949332
2010-04-16,33.950001,34.09,32.98,33.220001,5525000.0,0.5413156279640685,0.017146387017758835,0,2,0.0334136052554606
2010-04-19,33.0,33.360001,32.029999,32.470001,5197000.0,-0.05936651583710406,-0.003987638281450101,0,3,0.04096094730640754
2010-04-20,32.810001,33.23,32.700001,33.150002,2487400.0,-0.5213777179141812,-0.00180659445367648,1,0,0.0159879025045005
2010-04-21,33.48,33.689999,33.189999,33.580002,2539100.0,0.020784755166036728,0.0020890481700415187,2,0,0.014889814479463104
2010-04-22,33.200001,34.450001,33.0,34.349998,3798800.0,0.4961206726792957,0.026598894996978206,3,0,0.04221254976492285
2010-04-23,34.349998,34.790001,33.970001,34.220001,2783000.0,-0.2674002316521007,0.0017564695550353893,0,1,0.02396259427344824
2010-04-26,34.290001,34.860001,34.130001,34.669998,2755400.0,-0.00991735537190086,0.016119549124254062,1,0,0.02105566893889053
2010-04-27,34.52,34.84,33.560001,33.700001,3993400.0,0.4492995572330696,0.014449126596955741,0,1,0.03798216504503972
2010-04-28,33.549999,33.66,32.889999,33.18,4927200.0,0.23383582911804468,0.021866306687209347,0,2,0.02320678119348986
2010-04-29,36.740002,40.099998,36.549999,39.630001,16666300.0,2.3825093359311578,0.19547507116289164,1,0,0.08957857457535769
2010-04-30,39.630001,39.790001,38.610001,38.830002,5952300.0,-0.6428541427911414,0.1563430520343625,0,1,0.030388873016282607
2010-05-03,39.330002,40.18,39.299999,39.759998,4139500.0,-0.30455454194177045,0.15749637015990525,1,0,0.022132823044910616
2010-05-04,39.0,39.150002,37.900002,38.389999,3963800.0,-0.042444739702862666,0.12185850023791645,0,1,0.032560563494674746
2010-05-05,37.59,38.830002,37.389999,38.099998,4379300.0,0.10482365406932748,0.09893280063067778,0,2,0.037795356314716796
2010-05-06,38.02,38.549999,33.950001,37.389999,6481800.0,0.48009955929029746,0.10949548636511919,0,3,0.12302749727273325
2010-05-07,36.810001,36.919998,34.400002,35.709999,8249000.0,0.27264031596161553,0.07625072332730576,0,4,0.07056835817889547
2010-05-10,37.75,39.209999,35.560001,38.380001,5496500.0,-0.33367680931021937,-0.0315417604960444,1,0,0.09510156083633253
2010-05-11,37.869999,39.630001,37.5,38.52,3757500.0,-0.3163831529154917,-0.007983568993892853,2,0,0.055295976116303214
2010-05-12,38.549999,39.599998,38.549999,39.419998,3046400.0,-0.1892481703260146,-0.00855130827722883,3,0,0.0266362012499341
2010-05-13,39.470001,40.880001,39.25,39.75,5094400.0,0.6722689075630253,0.035425919130656736,4,0,0.041006314465408804
2010-05-14,39.25,39.369999,38.099998,38.900002,2712200.0,-0.4676114949748744,0.02099748141719071,0,1,0.03264783893841446
2010-05-17,38.93,41.16,38.869999,41.029999,8024300.0,1.9585944989307573,0.09735223582113472,1,0,0.05581284562059085
2010-05-18,41.84,42.689999,40.389999,40.48,6034700.0,-0.24794686140847177,0.13357606086743368,0,1,0.056818181818181754
2010-05-19,39.810001,40.880001,39.080002,39.950001,4034400.0,-0.33146635292558035,0.040906721185338224,0,2,0.04505629424139438
2010-05-20,38.77,38.799999,37.139999,37.630001,5481800.0,0.35876462423160826,-0.023104854620976223,0,3,0.044113737865699144
