date,open,high,low,close,volume,vol_change,return_7d,streak_up,streak_down,range_ratio
2010-01-13,14.29,14.42,13.92,14.27,25137300.0,-0.37703248254685773,-0.002097902097902171,1,0,0.0350385423966363
2010-01-14,14.22,14.38,14.02,14.35,26920500.0,0.07093840627275005,0.01127554615926707,2,0,0.025087108013937365
2010-01-15,14.16,14.34,13.67,13.73,36020100.0,0.3380174959603277,-0.030367231638418035,0,1,0.04879825200291332
2010-01-19,13.77,14.02,13.75,13.97,14620900.0,-0.5940905216809503,-0.002855103497501732,1,0,0.019327129563350004
2010-01-20,13.83,13.89,13.65,13.8,19220200.0,0.3145702384942104,-0.05154639175257736,0,1,0.0173913043478261
2010-01-21,13.86,14.09,13.52,13.58,25265000.0,0.3145024505468206,-0.08675184936112978,0,2,0.04197349042709869
2010-01-22,13.35,13.39,12.61,12.63,48104300.0,0.9039897090837126,-0.11056338028169,0,3,0.06175771971496446
2010-01-25,12.66,12.94,12.59,12.64,39765000.0,-0.17335872260899754,-0.11422564821303427,1,0,0.02768987341772149
2010-01-26,12.72,13.01,12.64,12.65,36897100.0,-0.07212121212121214,-0.11846689895470375,2,0,0.02924901185770745
2010-01-27,12.75,13.07,12.69,13.04,30448800.0,-0.17476441237929263,-0.050254916241806336,3,0,0.02914110429447859
2010-01-28,13.08,13.09,12.35,12.61,35016600.0,0.15001576416804596,-0.09735146743020762,0,1,0.058683584456780354
2010-01-29,12.78,12.85,12.15,12.18,25601600.0,-0.26887247762489785,-0.11739130434782619,0,2,0.057471264367816036
2010-02-01,12.34,12.56,12.23,12.52,20227300.0,-0.20992047372039246,-0.07805596465390285,1,0,0.026357827476038344
2010-02-02,12.59,12.59,12.35,12.51,21525000.0,0.064155868553885,-0.009501187648456089,0,1,0.019184652278177474
2010-02-03,12.35,12.48,12.12,12.28,36170300.0,0.6803855981416957,-0.02848101265822789,0,2,0.029315960912052217
2010-02-04,12.22,12.22,11.66,11.8,40737400.0,0.12626657782766526,-0.06719367588932801,0,3,0.047457627118644104
2010-02-05,11.8,12.27,11.68,12.23,43781500.0,0.07472494562735954,-0.06211656441717783,1,0,0.04824202780049058
2010-02-08,12.25,12.33,12.03,12.07,17976400.0,-0.5894064844740359,-0.04282315622521804,0,1,0.024855012427506273
2010-02-09,12.24,12.4,12.04,12.15,21123700.0,0.17507954874168363,-0.0024630541871920597,1,0,0.029629629629629728
2010-02-10,12.2,12.32,12.1,12.23,17213400.0,-0.18511435023220368,-0.02316293929712454,2,0,0.017988552739166035
2010-02-11,12.22,12.53,12.06,12.47,18388100.0,0.06824334530075404,-0.003197442046362853,3,0,0.03769045709703279
2010-02-12,12.3,12.72,12.15,12.47,23748600.0,0.2915200591687015,0.01547231270358318,0,0,0.04570970328789096
2010-02-16,12.67,12.97,12.56,12.95,21663600.0,-0.08779464894772748,0.09745762711864403,1,0,0.03166023166023167
2010-02-17,13.09,13.15,12.75,12.99,25202600.0,0.16336158348566254,0.06214227309893694,2,0,0.03079291762894537
2010-02-18,12.78,12.79,12.31,12.68,45212200.0,0.7939498305730361,0.0505385252692625,0,1,0.03785488958990526
2010-02-19,12.62,12.64,12.35,12.5,29090400.0,-0.35658074590486644,0.028806584362139898,0,2,0.023200000000000075
2010-02-22,12.53,12.59,12.39,12.45,22697700.0,-0.2197529081758931,0.017988552739165886,0,3,0.016064257028112393
2010-02-23,12.45,12.48,11.94,12.01,30237000.0,0.33216140842464204,-0.0368885324779471,0,4,0.04496253122398009
2010-02-24,12.08,12.42,12.05,12.27,25624000.0,-0.15256143135893108,-0.016038492381716174,1,0,0.03015484922575381
2010-02-25,12.07,12.25,11.94,12.22,21748200.0,-0.15125663440524506,-0.0563706563706563,0,1,0.02536824877250413
