date,open,high,low,close,volume,vol_change,return_7d,streak_up,streak_down,range_ratio
2010-01-13,31.879999,32.099998,31.66,31.82,1927500.0,0.17280194706419216,-0.025122519152038003,0,3,0.013827718416090484
2010-01-14,31.620001,31.92,31.620001,31.799999,1228300.0,-0.36274967574578465,-0.02811741967856307,0,4,0.009433931114274666
2010-01-15,31.6,32.060001,30.77,30.809999,3259200.0,1.6534234307579583,-0.06067073355703456,0,5,0.041869556698135565
2010-01-19,31.1,31.559999,30.85,31.290001,2560200.0,-0.2144698085419735,-0.04719850791717428,1,0,0.02269092289258795
2010-01-20,31.24,31.43,30.790001,31.059999,3338400.0,0.3039606280759315,-0.05678715457030059,0,1,0.020605248570677658
2010-01-21,31.16,31.549999,30.99,31.1,2575100.0,-0.22864246345554762,-0.045133558489407366,1,0,0.018006398713826404
2010-01-22,31.049999,31.26,30.5,30.52,2921500.0,0.13451904780396884,-0.04385964912280704,0,1,0.02490170380078642
2010-01-25,30.68,30.91,30.1,30.690001,2595600.0,-0.11155228478521306,-0.03551222501571338,1,0,0.026392961016847107
2010-01-26,30.719999,30.91,30.32,30.58,1548000.0,-0.4036061026352289,-0.03836474963411163,0,1,0.01929365598430346
2010-01-27,30.700001,30.709999,30.190001,30.57,1862600.0,0.20322997416020683,-0.00778964647158864,0,2,0.017010075237160648
2010-01-28,30.6,30.67,29.68,30.0,2334400.0,0.2533018361430259,-0.041227259788198745,0,3,0.033000000000000064
2010-01-29,30.18,30.33,29.549999,29.58,1482500.0,-0.3649331734064428,-0.0476496795766157,0,4,0.026369202163624025
2010-02-01,29.620001,29.940001,29.4,29.9,1154000.0,-0.22158516020236085,-0.03858520900321549,1,0,0.01806023411371238
2010-02-02,29.84,30.25,29.65,30.08,929400.0,-0.1946273830155979,-0.014416775884665833,2,0,0.019946808510638347
2010-02-03,29.889999,30.209999,29.809999,30.110001,937800.0,0.009038089089735246,-0.018898663444162134,3,0,0.013284622607617933
2010-02-04,29.9,29.950001,29.559999,29.57,1520100.0,0.6209213051823417,-0.033028122956180406,0,1,0.013189110585052387
2010-02-05,29.52,29.719999,28.77,29.51,1619800.0,0.0655877902769555,-0.034674517500817736,0,2,0.032192443239579864
2010-02-08,29.5,29.700001,28.83,29.42,1522800.0,-0.059883936288430695,-0.019333333333333313,0,3,0.029571753908905575
2010-02-09,29.790001,30.02,29.559999,29.780001,2072700.0,0.36111111111111116,0.006761359026369096,1,0,0.015446641522946837
2010-02-10,29.68,29.959999,29.370001,29.67,1490100.0,-0.2810826458242872,-0.007692307692307554,0,1,0.01988533872598589
2010-02-11,28.1,28.1,27.26,27.42,7702300.0,4.168981947520301,-0.08843085106382964,0,2,0.03063457330415754
2010-02-12,27.09,27.190001,26.5,26.620001,4765400.0,-0.3813016891058515,-0.1159083322514669,0,3,0.02592039722312553
2010-02-16,26.68,26.780001,26.25,26.639999,2907400.0,-0.3898938179376338,-0.09908694622928649,1,0,0.019894933179239183
2010-02-17,26.77,27.07,26.549999,26.93,3120000.0,0.07312375318153674,-0.08742799051169103,2,0,0.019309357593761626
2010-02-18,26.700001,27.200001,26.700001,26.959999,2698900.0,-0.1349679487179487,-0.08361662134602321,3,0,0.018545994753189715
2010-02-19,26.83,27.35,26.75,27.15,2084900.0,-0.22750009263033089,-0.08831433551664425,4,0,0.02209944751381221
2010-02-22,27.16,27.290001,26.879999,26.959999,1239200.0,-0.4056309655139335,-0.09133808560835865,0,1,0.01520778988159453
2010-02-23,27.040001,27.08,26.629999,26.68,2103100.0,0.6971433182698514,-0.02698760029175795,0,2,0.01686660419790093
2010-02-24,26.719999,26.860001,26.549999,26.790001,1871000.0,-0.1103608958204555,0.006386175567762109,1,0,0.011571556119016224
2010-02-25,26.51,26.51,25.889999,26.5,2936300.0,0.5693746659540353,-0.0052552179149856215,0,1,0.023396264150943473
