date,open,high,low,close,volume,vol_change,return_7d,streak_up,streak_down,range_ratio
2010-01-13,20.34,20.59,20.16,20.309999,15961300.0,-0.012473009175333671,0.038343560242513286,1,0,0.02117183757616136
2010-01-14,20.26,20.370001,20.059999,20.200001,14059800.0,-0.11913190028381149,0.029037291341685645,0,1,0.015346632903631897
2010-01-15,20.24,20.24,19.49,19.66,16443600.0,0.16954721973285536,0.014447936762019387,0,2,0.03814852492370295
2010-01-19,19.389999,19.790001,19.25,19.790001,18925800.0,0.15095234620156162,0.011241747572815486,1,0,0.027286557489309887
2010-01-20,19.639999,19.83,19.34,19.77,16125600.0,-0.1479567574422217,-0.006033132530574803,0,1,0.02478502781992911
2010-01-21,19.85,20.24,19.51,19.610001,16865700.0,0.04589596666170559,-0.04294773060029278,0,2,0.037225903252121044
2010-01-22,19.540001,19.540001,18.5,18.559999,16469900.0,-0.02346774815157393,-0.07982156668319285,0,3,0.056034539657033394
2010-01-25,18.719999,18.99,18.530001,18.719999,17693500.0,0.07429310439043335,-0.07828656220022456,1,0,0.024572597466484897
2010-01-26,18.67,18.709999,18.030001,18.65,26839200.0,0.5168960352671885,-0.07673271897362788,0,1,0.0364610187667561
2010-01-27,18.65,19.209999,18.530001,19.139999,17644900.0,-0.34256982324361385,-0.026449694811800595,1,0,0.03552758806309244
2010-01-28,19.219999,19.469999,18.309999,18.610001,22234500.0,0.2601091533530935,-0.05962607076169424,0,1,0.06233207617774981
2010-01-29,18.610001,18.83,18.01,18.08,20518800.0,-0.07716386696350264,-0.08548305513404153,0,2,0.045353982300884776
2010-02-01,18.16,18.309999,17.969999,18.16,16375100.0,-0.20194650759303667,-0.07394191361846436,1,0,0.018722466960352416
2010-02-02,18.219999,18.780001,18.030001,18.709999,18324900.0,0.1190710285738712,0.008081896987170989,2,0,0.04008551790943442
2010-02-03,18.65,19.049999,18.6,18.950001,12932600.0,-0.29426081452013386,0.012286432280258053,3,0,0.023746647823395802
2010-02-04,18.76,18.780001,18.200001,18.25,16538700.0,0.2788379753491177,-0.021447721179624568,0,1,0.03178082191780813
2010-02-05,18.1,18.24,16.959999,18.049999,32322500.0,0.9543555418503269,-0.056948801303490115,0,2,0.0709141867542485
2010-02-08,18.040001,18.17,17.75,17.84,11449000.0,-0.6457885373965504,-0.0413756560249513,0,3,0.023542600896861082
2010-02-09,18.0,18.18,17.48,17.76,18104900.0,0.581352083151367,-0.017699115044247593,0,4,0.03941441441441437
2010-02-10,17.75,17.76,17.35,17.52,12914700.0,-0.28667377339836175,-0.03524229074889873,0,5,0.023401826484018274
2010-02-11,17.549999,17.950001,17.309999,17.950001,14990900.0,0.16076254190960682,-0.040619884586845734,1,0,0.03565470553455674
2010-02-12,17.780001,17.91,17.42,17.889999,15591700.0,0.040077647105910996,-0.05593677805082975,0,1,0.02738960466124109
2010-02-16,18.07,18.190001,17.870001,18.15,13418200.0,-0.13940109160643166,-0.005479452054794609,1,0,0.017630853994490374
2010-02-17,18.23,18.24,17.790001,18.01,12557300.0,-0.0641591271556543,-0.0022160112031029966,0,1,0.024986063298167587
2010-02-18,17.950001,18.040001,17.780001,17.99,10071900.0,-0.19792471311508042,0.00840807174887881,0,2,0.014452473596442555
2010-02-19,17.82,18.309999,17.82,18.290001,13176500.0,0.30824372759856633,0.02984239864864846,1,0,0.026790539814623354
2010-02-22,18.290001,18.290001,17.440001,17.76,21806100.0,0.6549235381171024,0.013698630136986356,0,1,0.047860360360360434
2010-02-23,17.33,17.440001,17.16,17.209999,23526600.0,0.0788999408422415,-0.04122573586486156,0,2,0.016269669742572247
2010-02-24,17.26,17.629999,17.25,17.5,16668800.0,-0.2914913332143191,-0.021799833527100798,1,0,0.02171422857142866
2010-02-25,17.18,17.540001,16.75,17.5,31412100.0,0.8844847859473988,-0.03581267217630846,0,0,0.0451429142857143
2010-02-26,17.41,17.809999,17.33,17.629999,20319700.0,-0.3531250696387698,-0.02109944475291503,1,0,0.027226263597632815
2010-03-01,17.700001,17.799999,17.57,17.77,8688200.0,-0.5724247897360689,-0.01222901612006666,2,0,0.012943106359032043
2010-03-02,17.9,17.969999,17.530001,17.610001,12978700.0,0.49383071292097336,-0.03717878418924092,0,1,0.024985688530057594
2010-03-03,17.68,17.870001,17.549999,17.610001,12200700.0,-0.05994437039148759,-0.008445889639639659,0,0,0.018171606009562337
2010-03-04,17.75,17.75,17.25,17.51,13267300.0,0.08742121353692811,0.01743178485948782,0,1,0.02855511136493432
2010-03-05,17.700001,18.120001,17.629999,18.1,14018100.0,0.05659026327888861,0.034285714285714475,1,0,0.027071933701657287
2010-03-08,18.219999,18.379999,18.07,18.35,13749100.0,-0.019189476462573407,0.04857142857142871,2,0,0.016893678474114507
2010-03-09,18.32,18.52,18.209999,18.4,13154600.0,-0.04323919383814212,0.04367561223344363,3,0,0.016847880434782598
2010-03-10,18.43,18.639999,18.290001,18.48,10807100.0,-0.17845468505313733,0.039954980303883,4,0,0.01893928571428568
2010-03-11,18.42,18.450001,18.17,18.35,12497300.0,0.1563971833331792,0.04202151947634758,0,1,0.015258910081743793
2010-03-12,18.540001,18.540001,18.030001,18.040001,11108200.0,-0.11115200883390808,0.024417942963205874,0,2,0.028270508410725783
2010-03-15,17.959999,18.110001,17.92,18.08,12912900.0,0.16246556597828632,0.032552826956024905,1,0,0.01050890486725657
2010-03-16,18.24,18.52,18.07,18.48,22057700.0,0.7081910337724291,0.02099447513812147,2,0,0.02435064935064931
2010-03-17,18.58,19.059999,18.559999,18.879999,20462100.0,-0.07233755105926731,0.02888277929155314,3,0,0.026483052250161662
2010-03-18,19.24,19.440001,19.120001,19.24,16267800.0,-0.20497896110369906,0.04565217391304355,4,0,0.016632016632016647
2010-03-19,19.389999,19.73,19.309999,19.389999,24105400.0,0.48178610506645025,0.049242370129870094,5,0,0.02166070250957719
2010-03-22,19.200001,19.5,19.09,19.42,17273900.0,-0.2834012296000067,0.05831062670299736,6,0,0.02111225540679712
2010-03-23,19.57,19.74,19.4,19.68,14103600.0,-0.18353122340641082,0.09090903043741516,7,0,0.017276422764227636
2010-03-24,19.92,19.93,19.379999,19.459999,12484500.0,-0.11480047647409175,0.07632737831858427,0,1,0.028263156642505387
2010-03-25,19.790001,20.09,19.67,19.690001,16407200.0,0.3142056149625536,0.06547624458874446,1,0,0.021330623599257217
2010-03-26,19.780001,19.99,19.690001,19.790001,14425200.0,-0.1208006241162416,0.04819926102750305,2,0,0.015159120002065674
2010-03-29,19.879999,20.15,19.799999,20.1,13259700.0,-0.08079610681307714,0.04469854469854484,3,0,0.01741298507462681
2010-03-30,20.09,20.25,20.049999,20.17,13777600.0,0.0390581989034442,0.04022697474094783,4,0,0.009915765989092726
2010-03-31,20.0,20.35,20.0,20.209999,13626800.0,-0.010945302520032563,0.04067966014418123,5,0,0.01731816018397633
2010-04-01,20.280001,20.549999,20.23,20.379999,15886200.0,0.16580561834032936,0.035569054878048956,6,0,0.015701620004986223
2010-04-05,20.49,20.75,20.42,20.66,8385300.0,-0.4721645201495638,0.0616650083075545,7,0,0.015972894482090914
2010-04-06,20.6,20.6,20.27,20.450001,10402800.0,0.24059962076490993,0.03859827127484672,0,1,0.016136918526312143
2010-04-07,20.34,20.440001,19.969999,20.07,12288700.0,0.18128773022647748,0.014148508633223367,0,2,0.023418136522172266
2010-04-08,19.93,19.940001,19.559999,19.82,16862500.0,0.3721955943264952,-0.013930348258706537,0,3,0.019172653884964558
2010-04-09,19.860001,19.93,19.629999,19.67,12740900.0,-0.24442401779095624,-0.024789291026276694,0,4,0.0152517031011692
2010-04-12,19.75,20.049999,19.75,19.98,9890400.0,-0.22372830804731225,-0.01138045578329816,1,0,0.015014964964964949
2010-04-13,19.93,20.07,19.809999,20.030001,9764800.0,-0.012699183046186224,-0.017173602412836386,2,0,0.01298057848324616
2010-04-14,20.16,20.32,19.91,20.309999,10610700.0,0.0866274782893659,-0.016940997095837296,3,0,0.020187100944712016
2010-04-15,20.26,20.440001,20.18,20.219999,9846000.0,-0.07206876077921343,-0.011247041014814552,0,1,0.012858605977181256
2010-04-16,20.15,20.299999,19.75,19.9,11983500.0,0.21709323583180984,-0.008470353761833693,0,2,0.027638140703517573
2010-04-19,19.940001,20.200001,19.620001,19.98,13452800.0,0.12261025576834816,0.008072653884964698,1,0,0.02902902902902912
2010-04-20,20.110001,20.200001,19.780001,20.1,11941800.0,-0.11231862511893431,0.02186070157600395,2,0,0.020895522388059785
2010-04-21,20.200001,20.58,20.15,20.4,11502300.0,-0.0368034969602572,0.02102102102102088,3,0,0.021078431372549007
2010-04-22,20.389999,20.76,20.030001,20.690001,12896900.0,0.12124531615416045,0.03295057249373068,4,0,0.035282695249749044
2010-04-23,20.74,20.85,20.58,20.84,11267200.0,-0.12636369980382878,0.02609556997023965,5,0,0.012955854126679612
2010-04-26,20.9,21.0,20.82,20.92,11962500.0,0.06171009656347626,0.0346192400899723,6,0,0.008604206500956009
2010-04-27,20.92,21.1,20.1,20.120001,19247000.0,0.6089446185997911,0.011055326633165885,0,1,0.04970178679414579
2010-04-28,20.559999,20.6,19.790001,20.07,20938700.0,0.0878942172806152,0.0045045045045044585,0,2,0.040358694569008535
2010-04-29,20.290001,20.360001,19.870001,19.940001,21340700.0,0.019198899645154643,-0.007960149253731452,0,3,0.024573719931107428
2010-04-30,20.139999,20.24,19.23,19.25,20394500.0,-0.044337814598396474,-0.056372549019607754,0,4,0.052467532467532364
