date,open,high,low,close,volume,vol_change,return_7d,streak_up,streak_down,range_ratio
2010-01-13,47.669998,49.110001,47.540001,49.02,900900.0,-0.065359477124183,0.014276804706111923,1,0,0.03202774377804978
2010-01-14,48.990002,49.049999,48.32,48.950001,479000.0,-0.4683094683094683,0.019791687499999933,0,1,0.014913155977259314
2010-01-15,48.93,48.970001,47.66,48.0,660900.0,0.379749478079332,-0.010105217153837165,0,2,0.027291687500000144
2010-01-19,48.0,49.669998,48.0,48.759998,1297300.0,0.962929338780451,0.0026731852216084206,1,0,0.0342493451291774
2010-01-20,48.470001,48.830002,47.73,48.43,655400.0,-0.4947968858398212,-0.0053398850963213285,0,1,0.02271323559777005
2010-01-21,48.360001,48.790001,47.189999,47.240002,559000.0,-0.14708574916081785,-0.04100682261497468,0,2,0.033869642935239426
2010-01-22,47.029999,47.169998,45.709999,45.779999,789800.0,0.41288014311270116,-0.03397341282915001,0,3,0.03189163459789495
2010-01-25,45.970001,46.470001,45.810001,46.189999,685400.0,-0.13218536338313502,-0.05773155854753165,1,0,0.01428880741045272
2010-01-26,46.060001,46.07,44.959999,45.639999,654900.0,-0.04449956229938723,-0.0676200599056167,0,1,0.02432079369677455
2010-01-27,45.5,46.82,44.75,46.799999,1408700.0,1.151015422201863,-0.025000020833333303,1,0,0.04423077017587117
2010-01-28,48.09,48.09,43.040001,44.34,3535900.0,1.5100447220841913,-0.09064803489122375,0,1,0.11389262516914764
2010-01-29,44.540001,44.720001,42.669998,42.919998,1674200.0,-0.5265137588732713,-0.1137724963865373,0,2,0.0477633526450771
2010-02-01,43.0,45.119999,42.84,44.740002,1358800.0,-0.18838848405208453,-0.05292125093474809,1,0,0.05096108399816336
2010-02-02,44.709999,45.450001,44.389999,45.299999,1164400.0,-0.14306741242272591,-0.01048492814514912,2,0,0.023399603165554093
2010-02-03,45.060001,45.52,44.509998,44.779999,965700.0,-0.17064582617657165,-0.03052608855869432,0,1,0.022554757091441655
2010-02-04,44.459999,44.799999,44.23,44.349998,1166200.0,0.20762141451796623,-0.028264702635072414,0,2,0.012852289192887964
2010-02-05,44.080002,44.869999,43.790001,44.73,1017000.0,-0.12793688904133083,-0.04423074880834943,1,0,0.024144824502571056
2010-02-08,44.82,44.919998,44.18,44.25,848700.0,-0.1654867256637168,-0.002029769959404626,0,1,0.016723118644067794
2010-02-09,44.580002,45.119999,44.040001,44.75,600800.0,-0.29209379050312245,0.04263751363641721,1,0,0.024134033519553146
2010-02-10,44.759998,44.759998,43.93,44.41,581200.0,-0.03262316910785623,-0.00737599430594571,0,1,0.018689439315469566
2010-02-11,44.360001,45.139999,43.900002,45.029999,596200.0,0.02580867171369583,-0.005960265032235457,1,0,0.027537131413216388
2010-02-12,44.330002,45.200001,43.84,44.98,945200.0,0.5853740355585375,0.004466302020238899,0,1,0.03023568252556685
2010-02-16,45.189999,45.639999,45.09,45.59,382600.0,-0.595217943292425,0.027959460110911438,1,0,0.01206402719894713
2010-02-17,45.639999,46.150002,45.529999,46.02,510100.0,0.33324621014113953,0.02883970489604315,2,0,0.013472468491960106
2010-02-18,46.029999,46.970001,45.869999,46.880001,543800.0,0.066065477357381,0.059435050847457704,3,0,0.023464205984125373
2010-02-19,46.810001,47.389999,46.290001,47.23,661900.0,0.21717543214417057,0.05541899441340781,4,0,0.023290239254711128
2010-02-22,47.34,47.389999,46.779999,47.049999,536400.0,-0.18960568061640726,0.059446048187345335,0,1,0.012964931200104947
2010-02-23,47.009998,47.32,46.41,46.540001,464800.0,-0.133482475764355,0.033533245248350996,0,2,0.019553072205563633
2010-02-24,46.779999,46.939999,45.619999,46.09,1137400.0,1.4470740103270225,0.024677634504224333,0,3,0.028639618138424826
2010-02-25,45.580002,46.459999,44.470001,45.32,1371200.0,0.20555653244241245,-0.0059223513928493565,0,4,0.04390992939099735
2010-02-26,45.560001,45.610001,44.880001,45.220001,764100.0,-0.44275087514585765,-0.01738372446762282,0,5,0.01614329906803843
2010-03-01,45.490002,45.529999,44.599998,45.080002,1335700.0,0.7480696243947127,-0.03839588228677726,0,6,0.020630012394409324
2010-03-02,45.200001,45.5,45.02,45.43,1762200.0,0.3193082278954855,-0.03811136989201769,1,0,0.010565705480959649
2010-03-03,45.43,47.18,45.200001,46.82,1293200.0,-0.26614459198728857,-0.004888395428021108,2,0,0.04228959846219563
2010-03-04,46.919998,46.919998,45.91,46.27,810800.0,-0.3730281472316733,-0.005801482470960684,0,1,0.021828355305813767
2010-03-05,46.43,46.619999,46.200001,46.349998,724200.0,-0.10680809077454367,0.0056410935126924855,1,0,0.009061445914193991
2010-03-08,46.599998,46.740002,46.099998,46.240002,716100.0,-0.011184755592377749,0.020300132391879888,0,1,0.013840916356361697
2010-03-09,46.150002,46.470001,45.880001,46.099998,949700.0,0.32621142298561656,0.01946034897257065,0,2,0.012798265197321775
2010-03-10,46.220001,46.490002,45.91,46.389999,677600.0,-0.2865115299568285,0.0290593820293088,1,0,0.012502737928491879
2010-03-11,46.419998,46.810001,46.049999,46.75,573300.0,-0.15392561983471076,0.029055690072639306,2,0,0.016256727272727273
2010-03-12,46.759998,46.77,45.040001,45.119999,1182100.0,1.0619222047793477,-0.036309290901324176,0,1,0.03834217726822216
2010-03-15,45.099998,45.48,44.93,45.419998,874400.0,-0.26029946705016493,-0.018370477631294624,1,0,0.012109203527485781
2010-03-16,45.630001,46.0,45.279999,45.939999,706000.0,-0.19258920402561752,-0.008845717749545567,2,0,0.015672638564924728
2010-03-17,46.169998,46.799999,45.919998,46.549999,744300.0,0.054249291784702613,0.006704087080273036,3,0,0.018904425755197116
2010-03-18,46.689999,47.360001,46.689999,47.259998,828700.0,0.11339513636974341,0.025162690896429085,4,0,0.01417693669813521
2010-03-19,46.049999,47.43,45.75,46.049999,1150100.0,0.38783637021841444,-0.007329165926474923,0,1,0.03648208548278144
2010-03-22,45.77,47.209999,45.740002,46.98,690300.0,-0.3997913224936962,0.004919786096256651,1,0,0.03128984674329516
2010-03-23,47.09,47.689999,46.970001,47.529999,838200.0,0.2142546718817906,0.053413121751177295,2,0,0.015148285612208762
2010-03-24,47.400002,47.400002,46.310001,46.59,722900.0,-0.137556669052732,0.025759622446482888,0,1,0.023395599914144683
