date,open,high,low,close,volume,vol_change,return_7d,streak_up,streak_down,range_ratio
2010-01-13,10.31,10.56,9.97,10.46,33519600.0,-0.27314597970335674,-0.035944700460829426,1,0,0.05640535372848947
2010-01-14,10.43,10.95,10.43,10.73,33723700.0,0.006088974808768688,-0.03939122649955229,2,0,0.04846225535880704
2010-01-15,10.7,10.7,10.04,10.13,30994100.0,-0.08094011036748638,-0.09714795008912658,0,1,0.06515301085883515
2010-01-19,10.14,10.3,10.04,10.28,18545400.0,-0.40164741031357576,-0.05166051660516613,1,0,0.025291828793774472
2010-01-20,10.0,10.07,9.73,9.98,42195400.0,1.275248848771124,-0.10090090090090087,0,1,0.034068136272545076
2010-01-21,10.07,10.24,9.76,9.8,38274500.0,-0.0929224512624599,-0.1009174311926605,0,2,0.04897959183673473
2010-01-22,9.7,9.71,9.09,9.13,44447500.0,0.16128231590223252,-0.11013645224171531,0,3,0.06790799561883909
2010-01-25,9.28,9.42,9.17,9.33,23995600.0,-0.4601361156420496,-0.10803059273422566,1,0,0.02679528403001072
2010-01-26,9.36,9.74,9.27,9.44,25159600.0,0.048508893297104505,-0.12022367194780992,2,0,0.04978813559322041
2010-01-27,9.48,9.74,9.35,9.72,21637400.0,-0.13999427653857777,-0.04047384007897337,3,0,0.04012345679012351
2010-01-28,9.73,9.75,9.1,9.4,32249900.0,0.4904702043683622,-0.08560311284046684,0,1,0.0691489361702128
2010-01-29,9.45,9.5,8.57,8.72,42655600.0,0.32265836483213906,-0.12625250501002006,0,2,0.10665137614678895
2010-02-01,8.84,9.2,8.84,9.17,19407600.0,-0.5450163636193137,-0.06428571428571439,1,0,0.03925845147219187
2010-02-02,9.27,9.5,9.25,9.35,21667700.0,0.11645437869700537,0.02409638554216853,2,0,0.026737967914438502
2010-02-03,9.16,9.32,8.93,9.02,25361500.0,0.17047494657947082,-0.033226152197213366,0,1,0.04323725055432379
2010-02-04,9.11,9.18,8.55,8.61,26692400.0,0.05247717997752499,-0.08792372881355937,0,2,0.07317073170731696
