date,open,high,low,close,volume,vol_change,return_7d,streak_up,streak_down,range_ratio
2010-01-13,31.540001,31.719999,31.24,31.66,3927000.0,0.39940132563609154,0.027255029201816994,1,0,0.015161054958938817
2010-01-14,31.530001,31.66,31.1,31.35,2300000.0,-0.4143111790170614,0.017857175904453904,0,1,0.017862838915470452
2010-01-15,30.77,31.08,30.51,30.67,4405000.0,0.9152173913043478,-0.012238293469832295,0,2,0.018584936419954245
2010-01-19,30.700001,30.790001,30.25,30.43,4649700.0,0.055550510783200835,-0.035193435789681815,0,3,0.017745678606638192
2010-01-20,30.17,30.5,29.83,30.450001,4836000.0,0.04006710110329692,-0.035171040404659126,1,0,0.022003283349645922
2010-01-21,30.440001,30.85,30.110001,30.23,3833700.0,-0.20725806451612905,-0.04787401574803152,0,1,0.024478961296725138
2010-01-22,30.24,30.34,29.620001,29.639999,3658700.0,-0.04564780760101206,-0.06321112715585109,0,2,0.02429146505706702
2010-01-25,29.75,29.76,29.360001,29.5,2919400.0,-0.2020663077049225,-0.06822488945041061,0,3,0.013559288135593258
2010-01-26,29.389999,29.66,29.33,29.370001,3873500.0,0.32681372884839344,-0.06315786283891556,0,4,0.011235954673614136
2010-01-27,29.25,29.530001,29.120001,29.379999,4804800.0,0.2404285529882535,-0.04206067818715353,1,0,0.013955071952180806
2010-01-28,29.07,29.299999,28.620001,28.870001,4935300.0,0.027160339660339705,-0.05126516595465003,0,1,0.02355379204870832
2010-01-29,29.0,29.309999,28.959999,28.99,6691300.0,0.35580410512025606,-0.047947486110099025,1,0,0.012073128665056965
2010-02-01,29.139999,29.35,29.0,29.32,5189400.0,-0.22445563642341548,-0.030102547138604052,2,0,0.011937244201910007
2010-02-02,29.360001,29.620001,28.969999,29.51,3507200.0,-0.324160789301268,-0.004385931322062442,3,0,0.02202649949169763
2010-02-03,29.51,29.629999,29.299999,29.48,2423100.0,-0.3091069799270073,-0.0006779661016949046,0,1,0.01119402985074633
2010-02-04,29.25,29.33,28.85,28.98,4839000.0,0.9970285997276216,-0.013278889571709529,0,2,0.016563146997929497
2010-02-05,28.950001,29.08,28.5,28.940001,4116700.0,-0.14926637735069226,-0.014976106704428505,0,3,0.02004146440768949
2010-02-08,28.709999,29.09,28.709999,28.860001,2798700.0,-0.32015935093642967,-0.0003463803135994592,0,4,0.01316704736080917
