date,open,high,low,close,volume,vol_change,return_7d,streak_up,streak_down,range_ratio
2010-01-13,24.77,25.76,24.549999,25.52,2678700.0,0.7309854604200323,0.019576467455994173,1,0,0.04741383228840133
2010-01-14,25.51,25.719999,25.379999,25.66,2028700.0,-0.24265501922574384,0.04055150040551503,2,0,0.013250194855806698
2010-01-15,25.65,25.65,25.02,25.24,1734000.0,-0.1452654409227584,0.0031796502384737746,0,1,0.024960380348652896
2010-01-19,25.129999,25.459999,25.07,25.459999,1196300.0,-0.31009227220299884,0.031186633001756503,1,0,0.015318107435903653
2010-01-20,25.25,25.620001,25.08,25.559999,2032900.0,0.699322912312965,0.022399959999999997,2,0,0.021126800513568102
2010-01-21,25.610001,26.24,25.48,25.799999,2429600.0,0.19513994785774025,0.04116214523155182,3,0,0.029457365482843546
2010-01-22,25.610001,25.719999,24.959999,24.98,2673200.0,0.10026341784655912,0.009700889248181133,0,1,0.030424339471577324
2010-01-25,25.309999,25.49,25.049999,25.09,2081100.0,-0.221494837647763,-0.0168495297805642,1,0,0.01753690713431641
2010-01-26,25.1,25.48,24.51,25.370001,3496300.0,0.6800249867858343,-0.011301597817615083,2,0,0.03823413329782679
2010-01-27,26.1,26.35,24.889999,25.75,5674500.0,0.6230014586848955,0.020206022187004846,3,0,0.05669906796116512
2010-01-28,26.08,26.360001,24.969999,25.27,2348500.0,-0.5861309366464006,-0.007462647582979098,0,1,0.05500601503759395
2010-01-29,25.360001,25.379999,24.76,24.879999,4299600.0,0.8307856078347882,-0.026604069898437777,0,2,0.024919574956574552
2010-02-01,25.110001,25.610001,24.99,25.530001,2332800.0,-0.45743790120011163,-0.010465039165311607,1,0,0.024285192938300396
2010-02-02,25.66,26.139999,25.58,25.67,3865500.0,0.6570216049382716,0.0276220976781425,2,0,0.021815309700039004
2010-02-03,25.610001,25.77,25.290001,25.440001,3082600.0,-0.20253524770404863,0.013949820645675626,0,1,0.018867884478463638
2010-02-04,25.200001,25.290001,24.73,24.790001,4079700.0,0.3234607149808604,-0.022861646714164463,0,2,0.02258979336063761
2010-02-05,24.879999,24.950001,24.18,24.6,3618200.0,-0.11312106282324685,-0.044660194174757195,0,3,0.03130085365853661
2010-02-08,24.66,24.98,24.129999,24.68,3492100.0,-0.034851583660383656,-0.02334784329244166,1,0,0.03444088330632086
2010-02-09,24.940001,25.129999,24.860001,24.889999,4447800.0,0.2736748661263997,0.0004019292766048732,2,0,0.01084765009432106
2010-02-10,24.98,25.1,24.59,24.690001,3336800.0,-0.24978641125949907,-0.03290246639629979,0,1,0.020656135250865383
2010-02-11,24.530001,25.190001,24.290001,25.129999,3501000.0,0.049208822824262866,-0.021036268017140647,1,0,0.03581376982943766
2010-02-12,24.84,25.299999,24.52,25.299999,2134600.0,-0.39028848900314195,-0.0055032230541185445,2,0,0.030830001218577128
2010-02-16,25.360001,25.889999,25.360001,25.82,1960800.0,-0.08142040663356132,0.04154896968338173,3,0,0.020526646010844272
2010-02-17,25.92,26.290001,25.700001,26.209999,1623300.0,-0.1721236230110159,0.0654471138211381,4,0,0.022510493037409113
2010-02-18,26.120001,26.360001,25.959999,26.17,2548100.0,0.5697036900141688,0.06037277147487852,0,1,0.015284753534581605
2010-02-19,26.02,26.73,26.01,26.4,2279200.0,-0.105529610297869,0.06066697712603353,1,0,0.02727272727272723
2010-02-22,26.4,26.52,26.15,26.17,1657400.0,-0.2728150228150228,0.05994325395126565,0,1,0.014138326327856362
2010-02-23,26.15,26.200001,25.540001,25.629999,1569500.0,-0.05303487389887773,0.019896538794132113,0,2,0.02575107396609731
2010-02-24,25.74,26.379999,25.620001,26.33,1967000.0,0.25326537113730496,0.04071150358543485,1,0,0.028864337257880863
2010-02-25,25.940001,25.99,25.559999,25.74,2227400.0,0.13238434163701074,-0.0030983733539892144,0,1,0.016705555555555446
2010-02-26,25.65,25.809999,25.16,25.629999,1920700.0,-0.13769417257789351,-0.022128959257114,0,2,0.0253608671619535
2010-03-01,25.690001,26.540001,25.59,26.389999,2217900.0,0.1547352527724266,0.008406534199465021,1,0,0.035998523531584836
2010-03-02,26.49,26.6,25.799999,25.82,3194500.0,0.4403264349159115,-0.02196969696969686,0,1,0.03098377226955855
2010-03-03,25.799999,26.23,25.709999,25.860001,2803100.0,-0.12252308655501642,-0.0118455865494842,1,0,0.020108313220869582
2010-03-04,25.860001,26.290001,25.6,25.860001,2671600.0,-0.04691234704434377,0.008973937142954913,0,0,0.026682172208732657
2010-03-05,25.77,25.93,25.67,25.790001,2658300.0,-0.0049782901631980625,-0.020508887200911485,0,1,0.01008142651875035
2010-03-08,25.799999,26.059999,25.799999,25.889999,2664500.0,0.0023323176466163442,0.005827466977466944,1,0,0.01004248783478136
2010-03-09,25.65,26.049999,25.639999,25.77,2193600.0,-0.17673109401388631,0.005462388039890298,0,1,0.015909972836631748
2010-03-10,25.879999,27.370001,25.74,26.780001,3436200.0,0.5664660831509847,0.014778401469435432,1,0,0.0608663532163423
2010-03-11,26.82,26.83,26.299999,26.51,1973100.0,-0.42579011698969793,0.02672347017815646,0,1,0.01999249339871741
2010-03-12,26.52,26.709999,26.26,26.639999,1835900.0,-0.06953524910040043,0.030162334487148668,1,0,0.01689185498843293
2010-03-15,26.57,26.860001,26.25,26.530001,1351200.0,-0.2640122011002778,0.02590873836393115,0,1,0.022992875122771404
