date,open,high,low,close,volume,vol_change,return_7d,streak_up,streak_down,range_ratio
2010-01-13,25.01,25.16,24.67,25.02,18809200.0,-0.11131899854951266,-0.03806228373702425,1,0,0.01958433253397276
2010-01-14,24.889999,25.0,24.48,24.709999,22908400.0,0.2179359037066968,-0.04447029990447415,0,1,0.02104411254731332
2010-01-15,24.68,24.77,24.200001,24.5,20359100.0,-0.11128232438756092,-0.04557849629918198,0,2,0.02326526530612242
2010-01-19,24.450001,24.780001,24.35,24.719999,11783800.0,-0.42120231247943185,-0.0400000388349514,1,0,0.017394863163222505
2010-01-20,24.52,24.610001,24.200001,24.549999,13253500.0,0.12472207607053742,-0.06795751708428244,0,1,0.01670061167823266
2010-01-21,24.549999,24.879999,24.01,24.18,18407800.0,0.3889010450069792,-0.07000000000000006,0,2,0.035980107526881716
2010-01-22,24.1,24.17,23.0,23.110001,21806400.0,0.18462825541346595,-0.0722600963468486,0,3,0.05062743182053526
2010-01-25,23.41,23.82,23.200001,23.690001,20192100.0,-0.0740287255117763,-0.05315743405275786,1,0,0.026171337012607133
2010-01-26,23.389999,23.9,23.290001,23.35,19646700.0,-0.027010563537224974,-0.055038407731218375,0,1,0.026124154175588794
2010-01-27,23.370001,23.66,23.08,23.530001,19535100.0,-0.005680343263754217,-0.03959179591836737,1,0,0.02464938271783337
2010-01-28,23.459999,23.51,22.690001,23.049999,20198600.0,0.033964504916790705,-0.06755663703708081,0,1,0.035574795469622486
2010-01-29,23.110001,23.370001,22.280001,22.5,23137300.0,0.1454902815046588,-0.08350301765796408,0,2,0.048444444444444436
2010-02-01,22.559999,23.08,22.559999,23.049999,13199000.0,-0.4295358576843452,-0.04673287841191065,1,0,0.02255969729109303
2010-02-02,22.969999,23.370001,22.940001,23.309999,11891100.0,-0.09909084021516779,0.008654175307045708,2,0,0.01844701923839635
2010-02-03,23.26,23.32,22.93,23.200001,12877300.0,0.08293597732758107,-0.020683831967757138,0,1,0.016810344103002434
