date,open,high,low,close,volume,vol_change,return_7d,streak_up,streak_down,range_ratio
2010-01-13,24.34,24.469999,23.940001,24.4,2563200.0,0.03155183515775928,-0.013742926434923142,1,0,0.02172122950819683
2010-01-14,24.610001,24.610001,24.16,24.33,1863700.0,-0.2729010611735331,-0.026800000000000046,0,1,0.018495725441841363
2010-01-15,24.469999,24.469999,23.66,23.98,5208400.0,1.7946557922412407,-0.030327537403962768,0,2,0.03377810675562974
2010-01-19,23.950001,24.42,23.870001,24.299999,2912200.0,-0.44086475693111127,-0.003690037051662043,1,0,0.02263370463513201
2010-01-20,24.049999,24.139999,23.790001,24.01,4285700.0,0.4716365634228419,-0.023189585028478343,0,1,0.014577176176593059
2010-01-21,24.01,24.360001,23.690001,24.030001,3777300.0,-0.11862706209020701,-0.01958380252957992,1,0,0.02788181323837655
2010-01-22,23.940001,24.139999,23.209999,23.34,4467100.0,0.1826172133534536,-0.0347394540942928,0,1,0.039845758354755775
2010-01-25,23.459999,23.559999,23.030001,23.4,2491500.0,-0.44225560206845604,-0.040983606557377095,1,0,0.022649487179487292
2010-01-26,23.209999,23.719999,23.08,23.52,3492000.0,0.4015653220951234,-0.03329223181257701,2,0,0.027210841836734827
2010-01-27,23.4,23.629999,23.25,23.610001,2533600.0,-0.27445589919816726,-0.015429482902418634,3,0,0.01609483201631383
2010-01-28,23.389999,23.65,22.73,23.08,3629600.0,0.4325860435743607,-0.0502057222306882,0,1,0.039861351819757286
2010-01-29,23.02,23.549999,22.700001,22.91,4373500.0,0.20495371390786854,-0.04581424406497303,0,2,0.037101615015277145
2010-02-01,22.9,23.190001,22.75,23.190001,2978300.0,-0.3190122327655196,-0.03495630316453169,1,0,0.01897373786227947
2010-02-02,23.129999,23.48,22.9,23.42,5028500.0,0.6883792767686263,0.003427592116538314,2,0,0.0247651579846286
2010-02-03,21.379999,23.58,21.209999,23.299999,19269900.0,2.8321368201252857,-0.004273547008546985,0,1,0.10171678548140704
2010-02-04,22.9,23.57,22.84,23.040001,6963000.0,-0.6386592561455949,-0.02040812074829934,0,2,0.03168402640260304
2010-02-05,23.0,23.32,22.84,23.24,6293700.0,-0.09612236105127103,-0.015671367400619807,1,0,0.02065404475043031
2010-02-08,23.059999,23.33,22.969999,22.98,2717500.0,-0.5682190126634571,-0.004332755632582286,0,1,0.01566583986074834
2010-02-09,23.299999,23.32,22.860001,23.0,4305200.0,0.5842502299908003,0.003928415539065977,1,0,0.019999956521739123
2010-02-10,23.030001,23.1,22.76,22.870001,3108700.0,-0.2779197249837406,-0.013799050720178951,0,1,0.014866636866347312
2010-02-11,22.950001,23.5,22.940001,23.35,2867500.0,-0.0775887026731431,-0.002988898377455196,1,0,0.023982826552462578
2010-02-12,23.190001,23.370001,23.030001,23.290001,2602600.0,-0.09238012205754143,-0.0004290987308626093,0,1,0.014598539519169616
2010-02-16,23.370001,23.780001,23.34,23.610001,2696000.0,0.03588718973334348,0.02473958225956685,1,0,0.018636212679533505
2010-02-17,23.790001,24.17,23.6,24.120001,3123000.0,0.15838278931750738,0.037865791738382004,2,0,0.02363183981625873
2010-02-18,24.129999,24.23,23.77,23.98,2781000.0,-0.10951008645533145,0.04351610095735414,0,1,0.01918265221017518
2010-02-19,23.879999,24.309999,23.870001,24.120001,2231300.0,-0.19766271125494428,0.0486956956521738,1,0,0.0182420390446917
2010-02-22,24.17,24.5,23.889999,24.32,3246700.0,0.45507103482274913,0.063401789969314,2,0,0.025082277960526336
2010-02-23,24.33,24.5,24.24,24.379999,2996900.0,-0.07693966181045364,0.044111306209850154,3,0,0.010664479518641553
2010-02-24,24.440001,24.799999,24.219999,24.65,4341200.0,0.4485635156328205,0.05839411513979753,4,0,0.023529411764705816
2010-02-25,24.370001,24.93,24.219999,24.860001,4412100.0,0.016331889800055288,0.052943665694889175,5,0,0.028559974716010603
2010-02-26,24.92,25.18,24.790001,24.92,5170200.0,0.17182294145644939,0.033167453019591564,6,0,0.015650040128410897
2010-03-01,24.99,25.59,24.860001,25.440001,4996700.0,-0.03355769602723302,0.0608841117597998,7,0,0.02869492811733771
2010-03-02,25.440001,25.549999,25.110001,25.26,3470300.0,-0.3054816178677927,0.04726363817314949,0,1,0.01741876484560567
2010-03-03,25.23,25.540001,25.200001,25.35,4326300.0,0.24666455349681593,0.04235197368421062,1,0,0.013412228796844176
2010-03-04,25.57,26.459999,25.57,26.25,7932800.0,0.8336222638282136,0.07670225909361195,2,0,0.03390472380952379
2010-03-05,26.309999,26.639999,26.280001,26.5,3886600.0,-0.5100594997983058,0.0750507099391482,3,0,0.01358483018867928
2010-03-08,26.43,26.67,26.389999,26.549999,3248100.0,-0.16428240621623014,0.06798060868943656,4,0,0.010546177421701679
2010-03-09,26.440001,26.77,26.389999,26.51,3963400.0,0.22022105230750277,0.0638041733547352,0,1,0.014334251225952471
2010-03-10,26.65,27.07,26.549999,26.9,4206300.0,0.061285764747438964,0.05738989554285001,1,0,0.019330892193308573
2010-03-11,26.790001,26.82,26.450001,26.73,3497100.0,-0.16860423650238932,0.05819477434679321,0,1,0.013842087542087541
2010-03-12,26.73,26.780001,26.42,26.639999,5059100.0,0.4466558005204313,0.0508875345167652,0,2,0.013513551558316385
2010-03-15,26.700001,26.98,26.459999,26.860001,4077800.0,-0.19396730643790394,0.023238133333333355,1,0,0.01935967910053319
2010-03-16,26.940001,26.969999,26.610001,26.75,2618000.0,-0.3579871499337878,0.009433962264151052,0,1,0.01345786915887854
2010-03-17,26.719999,26.83,26.639999,26.719999,1786100.0,-0.31776165011459134,0.0064030134238424186,0,2,0.0071108161343867845
2010-03-18,26.719999,27.049999,26.67,26.969999,1974800.0,0.10564917977716815,0.017351904941531382,1,0,0.014089692773069734
2010-03-19,27.18,27.18,26.469999,26.799999,4554100.0,1.3061069475389915,-0.00371750929368031,0,1,0.026492575615394552
2010-03-22,26.15,26.57,26.1,26.530001,3562100.0,-0.2178256955271074,-0.007482192293303491,0,2,0.017715792773622546
2010-03-23,26.530001,26.59,26.24,26.42,2572800.0,-0.27772942926925126,-0.008258221030713941,0,3,0.013247539742619281
2010-03-24,26.32,26.51,26.280001,26.370001,1949500.0,-0.2422652363184079,-0.018242739454849666,0,4,0.008721994360182351
2010-03-25,26.52,26.68,26.08,26.08,3456900.0,0.7732239035650166,-0.025046728971962695,0,5,0.023006134969325208
2010-03-26,26.290001,26.299999,25.84,25.940001,3143400.0,-0.09068818883971186,-0.029191543008665666,0,6,0.01773319129787234
