Symbol,Security,Sector,Subcector
AAL,American Airlines Group,Industrials,Airlines
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
AAPL,Apple Inc.,Information Technology,Computer Hardware
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors
ABT,Abbott Laboratories,Health Care,Health Care Equipment
ADBE,Adobe Systems Inc,Information Technology,Application Software
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services
ADSK,Autodesk Inc,Information Technology,Application Software
AEE,Ameren Corp,Utilities,MultiUtilities
AEP,American Electric Power,Utilities,Electric Utilities
AFL,AFLAC Inc,Financials,Life & Health Insurance
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance
AIV,Apartment Investment & Mgmt,Real Estate,REITs
AIZ,Assurant Inc,Financials,Multi-line Insurance
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services
ALB,Albemarle Corp,Materials,Specialty Chemicals
ALK,Alaska Air Group Inc,Industrials,Airlines
ALL,Allstate Corp,Financials,Property & Casualty Insurance
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment
AME,AMETEK Inc,Industrials,Electrical Components & Equipment
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks
AMGN,Amgen Inc,Health Care,Biotechnology
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
AMT,American Tower Corp A,Real Estate,Specialized REITs
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores
ANTM,Anthem Inc.,Health Care,Managed Health Care
AON,Aon plc,Financials,Insurance Brokers
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production
APD,Air Products & Chemicals Inc,Materials,Industrial Gases
APH,Amphenol Corp,Information Technology,Electronic Components
ARNC,Arconic Inc,Industrials,Aerospace & Defense
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs
AVGO,Broadcom,Information Technology,Semiconductors
AVY,Avery Dennison Corp,Materials,Paper Packaging
AWK,American Water Works Company Inc,Utilities,Water Utilities
AXP,American Express Co,Financials,Consumer Finance
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores
BA,Boeing Company,Industrials,Aerospace & Defense
BAC,Bank of America Corp,Financials,Banks
BAX,Baxter International Inc.,Health Care,Health Care Equipment
BBBY,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores
BBT,BB&T Corporation,Financials,Banks
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment
BDX,Becton Dickinson,Health Care,Health Care Equipment
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology
BK,The Bank of New York Mellon Corp.,Financials,Banks
BLL,Ball Corp,Materials,Metal & Glass Containers
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors
BSX,Boston Scientific,Health Care,Health Care Equipment
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment
BXP,Boston Properties,Real Estate,REITs
C,Citigroup Inc.,Financials,Banks
CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats
